"Customer Profile","Mijoz profili"
"Сумма, превышающая остаток по плану. Заполняется автоматически при переплате.","Reja qoldig'idan oshgan miqdor. Ortiqcha to'lovda avtomatik to'ldiriladi."
"Отправить SMS","SMS yuborish"
"Метод оплаты","To'lov usuli"
"Сборщик","Inkassator"
"Связанный документ","Bog'langan hujjat"
"Принял","Qabul qildi"
"Срок оплаты","To'lov muddati"
"Дата оплаты","To'lov sanasi"
"Платёж","To'lov"
"Название кассы","Kassa nomi"
"Главная касса (менеджер)","Asosiy kassa (menejer)"
"Ответственный","Mas'ul shaxs"
"Дата открытия","Ochilish sanasi"
"Начальный баланс","Boshlang'ich balans"
"Курс UZS/USD (по умолчанию)","UZS/USD kursi (standart)"
"UZS за 1 USD — резервный курс для транзакций без явного курса","1 USD uchun UZS — aniq kurs ko'rsatilmagan tranzaksiyalar uchun zahira kurs"
"Транзакции","Tranzaksiyalar"
"Сводка","Qisqacha ma'lumot"
"Итого приход (USD)","Jami kirim (USD)"
"Итого расход","Jami chiqim"
"Дата закрытия","Yopilish sanasi"
"Конечный баланс (USD)","Yakuniy balans (USD)"
"Разбивка по способу оплаты","To'lov usullari bo'yicha taqsimot"
"Карта / P2P (USD)","Karta / P2P (USD)"
"Наличные UZS (сум)","Naqd UZS (so'm)"
"Терминал (USD)","Terminal (USD)"
"Касса (сотрудник)","Xodim kassasi"
"Сдал","Topshirdi"
"Дата сдачи","Topshirish sanasi"
"Тип","Tur"
"Метод","Usul"
"Валюта","Valyuta"
"UZS за 1 USD — используется для пересчёта в USD","1 USD uchun UZS — USD ga qayta hisoblash uchun ishlatiladi"
"Категория","Toifa"
"Тип документа","Hujjat turi"
"Документ","Hujjat"
"Время","Vaqt"
"Личная информация","Shaxsiy ma'lumotlar"
"ФИО","F.I.O."
"Имя","Ism"
"Фамилия","Familiya"
"Отчество","Otasining ismi"
"Дата рождения","Tug'ilgan sana"
"Пол","Jins"
"Язык сообщений","Xabarlar tili"
"Серия паспорта","Pasport seriyasi"
"Номер паспорта","Pasport raqami"
"Дата выдачи паспорта","Pasport berilgan sana"
"Срок действия паспорта","Pasport amal qilish muddati"
"ПИНФЛ","JSHSHIR"
"Скан паспорта","Pasport skani"
"Адрес прописки","Ro'yxatdan o'tish manzili"
"Текущий адрес","Hozirgi manzil"
"Совпадает с пропиской","Ro'yxatdan o'tish manzili bilan bir xil"
"Город","Shahar"
"Место работы","Ish joyi"
"Должность","Lavozim"
"Ежемесячный доход","Oylik daromad"
"Кредитный лимит","Kredit limiti"
"Доступный лимит","Mavjud limit"
"Всего долг","Umumiy qarz"
"Активных договоров","Faol shartnomalar soni"
"Профиль риска","Xavf profili"
"Балл риска","Xavf balli"
"Уровень риска","Xavf darajasi"
"Дней просрочки","Kechikish kunlari"
"Основная информация","Asosiy ma'lumotlar"
"Назначение расхода","Xarajat maqsadi"
"Финансы","Moliya"
"Курс (UZS/USD)","Kurs (UZS/USD)"
"Касса","Kassa"
"Оплачено кем","Kim to'lagan"
"Дополнительно","Qo'shimcha"
"Описание","Tavsif"
"Чек / Квитанция","Chek / Kvitansiya"
"Детали заказа","Buyurtma tafsilotlari"
"Дата заказа","Buyurtma sanasi"
"Номер документа","Hujjat raqami"
"Продавец","Sotuvchi"
"Вид заказа","Buyurtma turi"
"Итого товаров","Mahsulotlar jami"
"Скидка %","Chegirma %"
"Сумма скидки","Chegirma miqdori"
"Итого","Jami"
"Баланс","Balans"
"Доставка","Yetkazib berish"
"Дата доставки","Yetkazib berish sanasi"
"Адрес доставки","Yetkazib berish manzili"
"Тип операции","Operatsiya turi"
"Бизнес статус","Biznes holati"
"На склад","Omborga"
"Поставщик","Yetkazib beruvchi"
"Итоги","Jami ko'rsatkichlar"
"Общее количество","Umumiy miqdor"
"Общая стоимость","Umumiy qiymat"
"Общие расходы","Umumiy xarajatlar"
"Краткое описание позиций","Mahsulotlar qisqacha tavsifi"
"Замечания","Izohlar"
"Клиент","Mijoz"
"Статус","Holat"
"Телефон","Telefon"
"Сумма","Miqdor"
"Оплачено","To'langan"
"Остаток","Qoldiq"
"Примечания","Izohlar"
"Филиал","Filial"
"Склад","Ombor"
"Дата","Sana"
"Ставка","Stavka"
"Всего к получению","Jami yig'iladigan"
"Активные рассрочки","Faol nasiyalar"
"{0}% от портфеля","Portfelning {0}%"
"Просрочено","Muddati o'tgan"
"Ожидается сегодня","Bugun kutilmoqda"
"Плановые платежи","Rejalashtirilgan to'lovlar"
"Собрано сегодня","Bugun yig'ilgan"
"Фактически получено","Amalda qabul qilindi"
"Активные договоры","Faol shartnomalar"
"Количество планов","Rejalar soni"
"Выручка (МТД)","Tushum (OBD)"
"Завершенные платежи","Yakunlangan to'lovlar"
"Платеж получен","To'lov qabul qilindi"
"Новая продажа","Yangi sotuv"
"Новый клиент","Yangi mijoz"
"Просроченный платеж","Muddati o'tgan to'lov"
"дн.","kun"
"Расширение профиля риска клиента","Mijoz xavf profilini kengaytirish"
"Сигналы мошенничества и аномалий","Firibgarlik va anomaliya signallari"
"Прогноз поступлений и дефолта","Tushumlar va defolt bashorati"
"Эффективность коллекшн-команды","Inkasso jamoasi samaradorligi"
"Клиент не активен","Mijoz faol emas"
"Запрашиваемая сумма {0} превышает доступный кредитный лимит {1}","So'ralgan miqdor {0} mavjud kredit limitdan {1} oshib ketmoqda"
"(учтено {0} по незакрытым черновикам)","(yopilmagan qoralamalar bo'yicha {0} hisobga olindi)"
"Для заказа {0} уже существует план рассрочки {1}.","Buyurtma {0} uchun muddatli to'lov rejasi allaqachon mavjud: {1}."
"Нельзя уменьшить количество взносов с {0} до {1}: по плану уже были произведены оплаты. Для изменения условий отмените план и создайте новый.","To'lovlar soni {0} dan {1} ga kamaytirilmaydi: to'lovlar allaqachon amalga oshirilgan. Rejani bekor qiling va yangi yarating."
"Платёж нельзя применить к отменённому плану рассрочки.","Bekor qilingan nasiya rejasiga to'lov qo'llab bo'lmaydi."
"Платёж нельзя применить к плану в статусе {0}.","Reja {0} statusida — to'lovni qo'llab bo'lmaydi."
"У плана нет строк графика — сохраните план с заполненным графиком, затем повторите оплату.","Rejada jadval satrlari yo'q — jadval bilan saqlang, so'ng to'lovni takrorlang."
"График платежей: сумма строк ({0}) не совпадает с итоговой суммой ({1}). Разница: {2}. Пересохраните план для автоматического исправления.","To'lovlar jadvali: satrlar yig'indisi ({0}) umumiy summa ({1}) bilan mos kelmaydi. Farq: {2}. Avtomatik tuzatish uchun rejani qayta saqlang."
"Внимание: изменены поля ({0}) на плане с уже существующими оплатами. Суммы взносов в графике не будут пересчитаны автоматически.","Diqqat: ({0}) maydonlari to'lovlar mavjud rejaida o'zgartirildi. Jadvalda to'lov summasi avtomatik qayta hisoblanmaydi."
"Клиент обязателен","Mijoz majburiy"
"OTP: интеграция в разработке (клиент {0})","OTP: integratsiya ishlab chiqilmoqda (mijoz {0})"
"План отменён пользователем {0}. Остаток на момент отмены: {1} USD.","Reja {0} foydalanuvchi tomonidan bekor qilindi. Bekor qilish vaqtidagi qoldiq: {1} USD."
"Сумма платежа ({0}) не совпадает с суммой строк оплаты ({1}). Пересохраните документ.","To'lov miqdori ({0}) to'lov satrlari yig'indisi ({1}) bilan mos kelmaydi. Hujjatni qayta saqlang."
"Переплата {0} USD по плану {1}. Отразите как возврат или кредит клиенту.","Reja {1} bo'yicha {0} USD ortiqcha to'lov. Qaytarish yoki mijozga kredit sifatida ko'rsating."
"SMS-уведомление не отправлено. Платёж сохранён, но клиент не получил сообщение.","SMS xabarnoma yuborilmadi. To'lov saqlandi, lekin mijoz xabar olmadi."
"Добавьте хотя бы одну строку в детали оплаты","To'lov tafsilotlariga kamida bitta satr qo'shing"
"Укажите корректный курс USD для строки {0} (UZS)","{0}-satr uchun to'g'ri USD kursini ko'rsating (UZS)"
"Сумма по строкам оплаты должна быть больше нуля","To'lov satrlari bo'yicha umumiy summa noldan katta bo'lishi kerak"
"Строки UZS имеют разные курсы: {0}. Убедитесь, что это корректно.","UZS satrlari turli kurslarga ega: {0}. Bu to'g'riligiga ishonch hosil qiling."
"Платёж отменён пользователем {0}. Сумма: {1} USD, метод: {2}.","To'lov {0} foydalanuvchi tomonidan bekor qilindi. Miqdor: {1} USD, usul: {2}."
"Укажите клиента","Mijozni ko'rsating"
"Нет доступа к этому клиенту","Bu mijozga kirish imkoni yo'q"
"Нет права изменять платежи","To'lovlarni o'zgartirish huquqi yo'q"
"Автопривязка невозможна: подходящих планов с непогашенным графиком — {0}. Укажите план вручную («Выбрать»).","Avtomatik bog'lash mumkin emas: qoldig'i bor mos rejalar soni — {0}. Rejani qo'lda ko'rsating («Tanlash»)."
"Касса уже закрыта","Kassa allaqachon yopiq"
"Не найдена открытая главная касса для данного филиала. Укажите её вручную.","Ushbu filial uchun ochiq asosiy kassa topilmadi. Qo'lda ko'rsating."
"Нельзя передать кассу самой себе","Kassani o'ziga o'tkaza olmaysiz"
"Нет приходных транзакций для передачи","O'tkazish uchun kirim tranzaksiyalari yo'q"
"Нельзя добавить транзакцию в закрытую кассу","Yopiq kassaga tranzaksiya qo'shib bo'lmaydi"
"Инкассация подтверждена пользователем {0}. Принято: {1} USD / {2} UZS.","Inkassatsiya {0} foydalanuvchi tomonidan tasdiqlandi. Qabul qilindi: {1} USD / {2} UZS."
"Сумма расхода должна быть больше нуля","Xarajat miqdori noldan katta bo'lishi kerak"
"Касса {0} не найдена","{0} kassa topilmadi"
"Касса {0} уже закрыта. Выберите открытую кассу или снимите привязку.","{0} kassa allaqachon yopiq. Ochiq kassani tanlang yoki bog'liqlikni olib tashlang."
"Невозможно списать расход: касса {0} уже закрыта.","Xarajatni hisobdan chiqarib bo'lmaydi: {0} kassa allaqachon yopiq."
"Оплачено не может быть отрицательным","To'langan miqdor manfiy bo'lishi mumkin emas"
"Оплачено не может превышать общую сумму","To'langan miqdor umumiy summadan oshib ketishi mumkin emas"
"Клиент не имеет права на рассрочку (BNPL)","Mijoz nasiya (BNPL) uchun huquqqa ega emas"
"Сумма заказа превышает доступный кредитный лимит клиента","Buyurtma summasi mijozning mavjud kredit limitidan oshib ketmoqda"
"Товар {0} недоступен для покупки в рассрочку","{0} mahsulot nasiyaga sotib olish uchun mavjud emas"
"Недостаточно остатка для {0}. Доступно: {1}, требуется: {2}","{0} uchun qoldiq yetarli emas. Mavjud: {1}, kerak: {2}"
"Пожалуйста, выберите шаблон печати","Iltimos, chop etish shablonini tanlang"
"Документ поступления не найден","Qabul qilish hujjati topilmadi"
"Выберите проведённое поступление на склад","O'tkazilgan omborga qabul hujjatini tanlang"
"Для рассрочки доступны только операции типа «Поступление»","Nasiya uchun faqat «Qabul qilish» turi operatsiyalar mavjud"
"Это поступление уже отражено как продажа или возврат. Выберите другой документ.","Bu qabul allaqachon sotuv yoki qaytarish sifatida ko'rsatilgan. Boshqa hujjatni tanlang."
"По этому складу для товара нет остатка — единица уже списана (продажа или отпуск).","Bu ombor uchun mahsulot qoldig'i yo'q — birlik allaqachon hisobdan chiqarilgan."
"Этот серийный номер уже в продаже (заказ), отпуске или другом плане рассрочки. Выберите другое поступление.","Bu seriya raqami allaqachon sotuvda, chiqarishda yoki boshqa nasiya rejasida. Boshqa qabulni tanlang."
"Клиент не найден","Mijoz topilmadi"
"У клиента не указан основной номер","Mijozning asosiy telefon raqami ko'rsatilmagan"
"Напоминание Nasiya365: сегодня ожидается платеж {0:,.0f} сум.","Nasiya365 eslatma: bugun {0:,.0f} so'm to'lov kutilmoqda."
"SMS не отправлено: проверьте настройки шлюза","SMS yuborilmadi: shlyuz sozlamalarini tekshiring"
"Укажите клиента или план","Mijoz yoki rejani ko'rsating"
"Сумма платежа должна быть больше нуля","To'lov miqdori noldan katta bo'lishi kerak"
"Не найден активный план рассрочки","Faol muddatli to'lov rejasi topilmadi"
"Нет данных для оформления","Rasmiylashtirish uchun ma'lumot yo'q"
"Поле {0} обязательно","{0} maydoni majburiy"
"Nasiya365: Сегодня срок оплаты {0} USD. Просим оплатить своевременно.","Nasiya365: Bugun {0} USD to'lov muddati. O'z vaqtida to'lashingizni so'raymiz."
"Nasiya365: Просрочка {0} дн., долг {1} USD. Просим погасить задолженность.","Nasiya365: Kechikish {0} kun, qarz {1} USD. Qarzni to'lashingizni so'raymiz."
"Nasiya365: Оплата {0} принята. Договор {1}. Спасибо!","Nasiya365: {0} to'lovi qabul qilindi. Shartnoma {1}. Rahmat!"
"Действия","Amallar"
"Принять всё","Hammasini qabul qilish"
"Закрыть и сдать","Yopish va topshirish"
"Сверка","Solishtirish"
"Нет приходных транзакций","Kirim tranzaksiyalari yo'q"
"Закрыть кассу и сдать инкассацию","Kassani yopish va inkassatsiyani topshirish"
"Сумма к передаче:","O'tkazish uchun miqdor:"
"Закрыть и создать инкассацию","Yopish va inkassatsiya yaratish"
"Закрываем кассу...","Kassa yopilmoqda..."
"Касса закрыта. Инкассация создана: ","Kassa yopildi. Inkassatsiya yaratildi: "
"Сверка кассы","Kassa solishtirish"
"Проверить","Tekshirish"
"Сверяем...","Solishtirilmoqda..."
"Сходится","Mos keladi"
"Расхождение","Farq"
"Касса (лист.)","Kassa (varaq)"
"Платежи","To'lovlar"
"Разница","Farq"
"Нет данных","Ma'lumot yo'q"
"В рассрочке","Nasiyada"
"Погашено","To'liq to'langan"
"Инструмент импорта","Import vositasi"
"Планы рассрочки","Nasiya rejalari"
"Коллекции (сегодня)","Inkasso (bugun)"
"Коллекции","Inkasso"
"Не удалось загрузить «Платежи на сегодня». Проверьте права и журнал ошибок.","«Bugungi to'lovlar»ni yuklashda xato. Huquqlar va xatolar jurnalini tekshiring."
"Платежи на сегодня","Bugungi to'lovlar"
"Не удалось загрузить «Просроченные». Проверьте права и журнал ошибок.","«Muddati o'tganlar»ni yuklashda xato. Huquqlar va xatolar jurnalini tekshiring."
"Просроченные","Muddati o'tganlar"
"Звонок","Qo'ng'iroq"
"Обещал","Va'da berdi"
"Следующий звонок","Keyingi qo'ng'iroq"
"Взнос","To'lov"
"Не указан","Ko'rsatilmagan"
"Товар","Mahsulot"
"Просрочка","Muddati o'tish"
"План рассрочки","Nasiya rejasi"
"Сумма взноса","To'lov miqdori"
"Долг на сегодня","Bugungi qarz"
"Последний звонок","Oxirgi qo'ng'iroq"
"Обещал оплатить","To'lashga va'da berdi"
"Комментарий","Izoh"
"Принять платеж","To'lovni qabul qilish"
"Открыть план","Rejani ochish"
"Позвонить","Qo'ng'iroq qilish"
"Результат","Natija"
"Обещанная дата оплаты","Va'da qilingan to'lov sanasi"
"Сохранить","Saqlash"
"Звонок записан","Qo'ng'iroq yozildi"
"Выбрать","Tanlash"
"Цвет","Rang"
"Память","Xotira"
"Выберите товар","Mahsulotni tanlang"
"Выберите клиента","Mijozni tanlang"
"Риск и лимит","Xavf va limit"
"Скоринг","Skoring"
"Активные займы","Faol qarzlar"
"Без ограничений","Cheksiz"
"Текущий долг","Joriy qarz"
"Укажите сумму, срок и дату — расчёт появится автоматически","Miqdor, muddat va sanani ko'rsating — hisob avtomatik paydo bo'ladi"
"Платёж (нед.)","To'lov (haf.)"
"Платёж (2 нед.)","To'lov (2 haf.)"
"Платёж в месяц","Oylik to'lov"
"К оплате всего","Jami to'lanadi"
"Проценты","Foizlar"
"Симулятор 6 / 9 / 12","Simulyator 6 / 9 / 12"
"Сформировать график","Jadval yaratish"
"Отправить OTP","OTP yuborish"
"Предпросмотр / печать","Ko'rish / chop etish"
"Отправить клиенту","Mijozga yuborish"
"Скоро: отправка договора по SMS / email.","Tez orada: shartnomani SMS / email orqali yuborish."
"Сохранить черновик","Qoralama saqlash"
"Активировать (провести)","Faollashtirish (o'tkazish)"
"Заполните сумму, количество платежей и дату","Miqdor, to'lovlar soni va sanani to'ldiring"
"Нельзя перегенерировать график: в нём уже есть оплаты","Jadval qayta yaratib bo'lmaydi: to'lovlar allaqachon mavjud"
"График обновлён","Jadval yangilandi"
"График пуст. Сформировать из текущих полей?","Jadval bo'sh. Joriy maydonlardan yaratilsinmi?"
"Сначала выберите клиента","Avval mijozni tanlang"
"Укажите сумму покупки и дату первого платежа","Xarid miqdori va birinchi to'lov sanasini ko'rsating"
"мес.","oy"
"Симулятор срока","Muddat simulyatori"
"Закрыть","Yopish"
"Срок","Muddat"
"Платёж","To'lov"
"Всего","Jami"
"Nasiya365 — Финансовый центр","Nasiya365 — Moliyaviy markaz"
"Наличные продажи","Naqd sotuvlar"
"Добавить клиента","Mijoz qo'shish"
"Не удалось загрузить данные. Проверьте права доступа и обновите страницу.","Ma'lumotlarni yuklashda xato. Huquqlarni tekshiring va sahifani yangilang."
"от портфеля","portfeldan"
"Требует внимания","Diqqat talab qiladi"
"Риск и коллекции — сфокусируйтесь на просрочке","Xavf va inkasso — muddati o'tganlarga e'tibor bering"
"Просроченных платежей","Muddati o'tgan to'lovlar"
"Клиентов > 7 дн.","Mijozlar > 7 kun"
"Сумма под риском","Xavf ostidagi miqdor"
"Просрочек нет — портфель в норме.","Muddati o'tganlar yo'q — portfel normal."
"Топ-5 просрочек","Top-5 muddati o'tganlar"
"Денежный поток сегодня","Bugungi pul oqimi"
"собрано","yig'ildi"
"Ожидается","Kutilmoqda"
"Собрано","Yig'ildi"
"Действия на сегодня","Bugungi amallar"
"Сортировка: частичные платежи и крупные суммы выше","Saralash: qisman to'lovlar va katta summalar yuqorida"
"Срочно","Shoshilinch"
"Сегодня","Bugun"
"Напомнить","Eslatish"
"Напоминание отправлено","Eslatma yuborildi"
"Дальше: аналитика","Keyingisi: tahlil"
"Зарезервировано под скоринг, антифрод и прогнозы","Skoring, antifrod va prognozlar uchun ajratilgan"
"Скоринг риска","Xavf skoringi"
"Антифрод-сигналы","Antifrod signallari"
"Прогнозирование","Prognozlash"
"Метрики коллекций","Inkasso metrikalari"
"Лента активности","Faollik lentasi"
"Пока нет событий","Hozircha hodisalar yo'q"
"Платеж принят","To'lov qabul qilindi"
"Расширенная форма","Kengaytirilgan shakl"
"Создайте клиента","Mijoz yarating"
"Добавьте товар","Mahsulot qo'shing"
"Начните за 3 шага","3 qadamda boshlang"
"Сегодня нет плановых платежей","Bugun rejalashtirilgan to'lovlar yo'q"
"Оформить в рассрочку","Nasiyaga rasmiylashtirish"
"Шаг 1/4 · Клиент","1/4-qadam · Mijoz"
"Далее","Keyingi"
"Шаг 2/4 · Товар","2/4-qadam · Mahsulot"
"Количество","Miqdor"
"Назад","Orqaga"
"Шаг 3/4 · План","3/4-qadam · Reja"
"Шаг 4/4 · Подтверждение","4/4-qadam · Tasdiqlash"
"Оформить","Rasmiylashtirish"
"Сдача","Qaytim"
"К оплате по документу","Hujjat bo'yicha to'lanadi"
"Сумма от клиента","Mijozdan olingan miqdor"
"Рассчитать","Hisoblash"
"Не хватает","Yetarli emas"
"Колонки","Ustunlar"
"Применить","Qo'llash"
"Выберите хотя бы одну колонку","Kamida bitta ustun tanlang"
"Максимум {0} колонок","Maksimum {0} ustun"
"По умолчанию","Standart"
"Удаление данных...","Ma'lumotlar o'chirilmoqda..."
"Удаление всех данных...","Barcha ma'lumotlar o'chirilmoqda..."
"Прикрепите CSV файл.","CSV faylni biriktiring."
"Импорт данных...","Ma'lumotlar import qilinmoqda..."
"Add","Qo'shish"
"Add {0}","Qo'shish: {0}"
"New {0}","Yangi {0}"
"Create {0}","Yaratish: {0}"
"Advanced Search","Kengaytirilgan qidiruv"
"Notification","Bildirishnoma"
"No Notification","Bildirishnoma yo'q"
"Mark All as Read","Hammasini o'qildi deb belgilash"
"Unread Notifications","O'qilmagan bildirishnomalar"
"Search Results","Qidiruv natijalari"
"Search...","Qidirish..."
"Type to search","Qidirish uchun yozing"
"No more results","Boshqa natija yo'q"
"Loading more...","Ko'proq yuklanmoqda..."
"Add / Remove Columns","Ustunlarni qo'shish / olib tashlash"
"Add / Update","Qo'shish / Yangilash"
"Save","Saqlash"
"Saving","Saqlanmoqda"
"Submit","O'tkazish"
"Submitting","O'tkazilmoqda"
"Cancel","Bekor qilish"
"Cancelling","Bekor qilinmoqda"
"Amend","Tuzatish"
"Delete","O'chirish"
"Deleting","O'chirilmoqda"
"Duplicate","Nusxa olish"
"Edit","Tahrirlash"
"New","Yangi"
"New Document","Yangi hujjat"
"Create","Yaratish"
"Update","Yangilash"
"Refresh","Yangilash"
"Add Row","Satr qo'shish"
"Add a Row","Satr qo'shish"
"Delete Row","Satrni o'chirish"
"Remove Row","Satrni olib tashlash"
"Print","Chop etish"
"Email","Elektron pochta"
"Download","Yuklab olish"
"Export","Eksport"
"Import","Import"
"Attach","Biriktirish"
"Upload","Yuklash"
"Share","Ulashish"
"Assign","Belgilash"
"Search","Qidirish"
"Filter","Filtr"
"Add Filter","Filtr qo'shish"
"Add a Filter","Filtr qo'shish"
"Saved Filters","Saqlangan filtrlar"
"Clear","Tozalash"
"Clear All","Hammasini tozalash"
"Reset","Qayta o'rnatish"
"Select","Tanlash"
"Select All","Hammasini tanlash"
"Deselect All","Hammasini bekor qilish"
"Expand","Kengaytirish"
"Expand All","Hammasini kengaytirish"
"Collapse","Yig'ish"
"Collapse All","Hammasini yig'ish"
"Show","Ko'rsatish"
"Show All","Hammasini ko'rsatish"
"Hide","Yashirish"
"View","Ko'rish"
"Open","Ochish"
"Close","Yopish"
"Back","Orqaga"
"Next","Keyingi"
"Previous","Oldingi"
"More","Ko'proq"
"Less","Kamroq"
"Done","Tayyor"
"Confirm","Tasdiqlash"
"Yes","Ha"
"No","Yo'q"
"OK","OK"
"Loading","Yuklanmoqda"
"Please wait","Iltimos kuting"
"Actions","Amallar"
"Active","Faol"
"Inactive","Faol emas"
"Enabled","Yoqilgan"
"Disabled","O'chirilgan"
"Archived","Arxivlangan"
"Draft","Qoralama"
"Submitted","O'tkazilgan"
"Cancelled","Bekor qilingan"
"Pending","Kutmoqda"
"Completed","Yakunlangan"
"Failed","Muvaffaqiyatsiz"
"In Progress","Jarayonda"
"Success","Muvaffaqiyatli"
"Error","Xato"
"Warning","Ogohlantirish"
"Invalid","Noto'g'ri"
"Required","Majburiy"
"Mandatory","Majburiy"
"Name","Nom"
"Title","Sarlavha"
"Type","Tur"
"Date","Sana"
"Time","Vaqt"
"From","Dan"
"To","Gacha"
"All","Hammasi"
"None","Yo'q"
"Total","Jami"
"Count","Soni"
"Sum","Yig'indi"
"Value","Qiymat"
"Default","Standart"
"Custom","Maxsus"
"Private","Shaxsiy"
"Public","Ommaviy"
"Shared","Ulashilgan"
"Linked","Bog'langan"
"Not found","Topilmadi"
"Saved","Saqlandi"
"Deleted","O'chirildi"
"No Results","Natija yo'q"
"No Results found","Natija topilmadi"
"Not Saved","Saqlanmadi"
"List","Ro'yxat"
"Form","Shakl"
"Report","Hisobot"
"Dashboard","Boshqaruv paneli"
"Home","Bosh sahifa"
"Settings","Sozlamalar"
"Notifications","Bildirishnomalar"
"Help","Yordam"
"Logout","Chiqish"
"Profile","Profil"
"Add to Dashboard","Boshqaruv paneliga qo'shish"
"Mark as Read","O'qildi deb belgilash"
"Select All","Hammasini tanlash"
"Are you sure you want to delete this record?","Ushbu yozuvni o'chirmoqchimisiz?"
"Are you sure?","Ishonchingiz komilmi?"
